repo_name,provider,has_pipeline_state,run_started_at,run_completed_at,run_duration_sec,pipeline_completed,n_stages,stage_sequence
llm-death-thoughts-cdac-gemini,codex,True,2026-05-23T21:47:13.815309,2026-05-23T22:06:51.016214,1177.200905,True,2,resource_finder|experiment_runner
llm-reading-modes-30aa-gemini,codex,True,2026-05-23T21:47:44.787354,2026-05-23T22:09:50.680018,1325.892664,True,2,resource_finder|experiment_runner
llm-forecasting-cd55-claude,codex,True,2026-05-23T21:50:22.522745,2026-05-24T20:31:13.445103,81650.922358,True,2,resource_finder|experiment_runner
llm-death-thoughts-b7a5-claude,codex,True,2026-05-24T00:44:22.715242,2026-05-24T01:27:02.284200,2559.568958,True,2,resource_finder|experiment_runner
llm-reading-modes-c01e-claude,codex,True,2026-05-24T00:44:32.860527,2026-05-24T06:14:36.029043,19803.168516,True,2,resource_finder|experiment_runner
llm-forecasting-ea39-gemini,codex,True,2026-05-24T21:00:53.345778,2026-05-24T21:22:06.054144,1272.708366,True,2,resource_finder|experiment_runner
llm-death-thoughts-89b7-codex,codex,True,2026-05-24T22:09:32.780367,2026-05-24T22:50:49.313818,2476.533451,True,2,resource_finder|experiment_runner
llm-reading-modes-af09-codex,codex,True,2026-05-25T03:42:02.238879,2026-05-25T04:49:23.134450,4040.895571,True,2,resource_finder|experiment_runner
llm-forecasting-3be2-codex,codex,True,2026-05-25T09:42:44.811863,2026-05-25T10:01:48.335010,1143.523147,True,2,resource_finder|experiment_runner
hilbert-nullstellensatz-d241-codex,codex,True,2026-05-30T00:44:06.504712,2026-05-30T01:07:36.688723,1410.184011,True,2,resource_finder|experiment_runner
jacobson-commutativity-3-36c0-codex,codex,True,2026-05-30T05:56:05.438957,2026-05-30T06:29:13.658576,1988.219619,True,2,resource_finder|experiment_runner
novel-bio-mechanisms-a08e-gemini,codex,True,2026-05-30T21:10:31.253099,2026-05-30T21:27:09.688746,998.435647,True,2,resource_finder|experiment_runner
llm-vs-human-loopholes-0ca7-gemini,codex,True,2026-05-30T21:11:36.469706,2026-05-30T21:29:17.352861,1060.883155,True,2,resource_finder|experiment_runner
novel-geom-addressing-c44b-claude,codex,True,2026-05-30T21:12:47.520222,2026-05-30T22:23:13.570578,4226.050356,True,2,resource_finder|experiment_runner
novel-bio-mechanisms-002c-claude,codex,True,2026-05-30T21:43:44.025371,2026-05-30T22:39:59.200470,3375.175099,True,2,resource_finder|experiment_runner
llm-vs-human-loopholes-e858-claude,codex,True,2026-05-30T21:44:13.925850,2026-05-31T00:45:28.965960,10875.04011,True,2,resource_finder|experiment_runner
novel-geom-addressing-028d-gemini,codex,True,2026-05-31T02:02:35.109071,2026-05-31T02:23:41.098986,1265.989915,True,2,resource_finder|experiment_runner
novel-bio-mechanisms-594c-codex,codex,True,2026-05-31T02:12:24.646982,2026-05-31T02:58:03.667514,2739.020532,True,2,resource_finder|experiment_runner
llm-vs-human-loopholes-028c-codex,codex,True,2026-05-31T07:39:55.854591,2026-05-31T08:33:40.489797,3224.635206,True,2,resource_finder|experiment_runner
novel-geom-addressing-506d-codex,codex,True,2026-06-01T03:47:08.517231,2026-06-01T04:19:11.571800,1923.054569,True,2,resource_finder|experiment_runner
ai-driven-invention-03d7-gemini,codex,True,2026-06-07T21:05:54.176182,2026-06-07T21:17:08.372093,674.195911,True,2,resource_finder|experiment_runner
narrative-space-llm-3519-gemini,codex,True,2026-06-07T21:07:11.025366,2026-06-07T21:20:20.507138,789.481772,True,2,resource_finder|experiment_runner
base-vs-instruct-models-d95a-claude,codex,True,2026-06-07T21:12:14.166684,2026-06-07T22:29:26.760501,4632.593817,True,2,resource_finder|experiment_runner
ai-driven-invention-4088-claude,codex,True,2026-06-07T21:22:10.800806,2026-06-08T14:06:54.079787,60283.278981,True,2,resource_finder|experiment_runner
ai-driven-invention-9655-codex,codex,True,2026-06-08T03:38:33.903209,2026-06-08T04:14:35.609411,2161.706202,True,2,resource_finder|experiment_runner
base-vs-instruct-models-d3a1-gemini,codex,True,2026-06-08T14:02:01.993260,2026-06-08T14:24:08.383530,1326.39027,True,2,resource_finder|experiment_runner
narrative-space-llm-8f63-claude,codex,True,2026-06-08T14:03:54.971298,2026-06-08T14:43:14.522621,2359.551323,True,2,resource_finder|experiment_runner
narrative-space-llm-65e5-codex,codex,True,2026-06-08T14:28:00.784266,2026-06-08T15:10:40.270939,2559.486673,True,2,resource_finder|experiment_runner
base-vs-instruct-models-9ebe-codex,codex,True,2026-06-08T21:57:07.526731,2026-06-08T22:31:32.145000,2064.618269,True,2,resource_finder|experiment_runner
llm-sleep-mechanism-d0a6-claude,codex,True,2026-06-15T04:00:37.788343,2026-06-15T05:41:53.331000,6075.542657,True,2,resource_finder|experiment_runner
sampling-nn-1a8c-claude,codex,True,2026-06-15T04:02:32.227713,2026-06-15T05:01:44.701952,3552.474239,True,2,resource_finder|experiment_runner
error-extrapolation-1820-claude,codex,True,2026-06-15T04:03:32.741459,2026-06-15T13:12:39.413943,32946.672484,True,2,resource_finder|experiment_runner
error-extrapolation-d0c9-gemini,codex,True,2026-06-15T13:09:49.399472,2026-06-15T13:49:55.199809,2405.800337,True,2,resource_finder|experiment_runner
sampling-nn-0688-gemini,codex,True,2026-06-15T14:39:02.192017,2026-06-15T15:47:23.966647,4101.77463,True,2,resource_finder|experiment_runner
llm-sleep-mechanism-18a0-codex,codex,True,2026-06-15T20:07:38.575201,2026-06-15T20:54:44.044248,2825.469047,True,2,resource_finder|experiment_runner
llm-sleep-mechanism-95e3-gemini,codex,True,2026-06-15T21:53:26.471201,2026-06-15T23:25:36.433056,5529.961855,True,2,resource_finder|experiment_runner
sampling-nn-d01c-codex,codex,True,2026-06-16T03:39:19.769761,2026-06-16T04:09:02.251664,1782.481903,True,2,resource_finder|experiment_runner
error-extrapolation-6a30-codex,codex,True,2026-06-16T14:12:23.255779,2026-06-16T15:12:52.329585,3629.073806,True,2,resource_finder|experiment_runner
grounded-novelty-ai-69c6-claude,codex,True,2026-06-18T18:12:12.573496,2026-06-18T19:01:00.240510,2927.667014,True,2,resource_finder|experiment_runner
neural-symbolic-ai-d145-claude,codex,True,2026-06-19T16:11:11.138233,2026-06-19T16:52:48.401925,2497.263692,True,2,resource_finder|experiment_runner
drama-types-ai-e4ac-claude,codex,True,2026-06-21T21:22:25.540636,2026-06-22T17:28:09.986148,72344.445512,True,2,resource_finder|experiment_runner
icl-finetune-gap-0331-claude,codex,True,2026-06-21T21:39:54.944751,2026-06-21T23:11:06.651865,5471.707114,True,2,resource_finder|experiment_runner
llms-know-answer-73ae-claude,codex,True,2026-06-22T01:18:53.850367,2026-06-22T03:24:51.786328,7557.935961,True,2,resource_finder|experiment_runner
drama-types-ai-58c0-codex,codex,True,2026-06-23T03:00:55.515989,2026-06-23T03:43:13.201799,2537.68581,True,2,resource_finder|experiment_runner
icl-finetune-scale-398c-codex,codex,True,2026-06-23T03:57:16.383755,2026-06-23T04:39:41.370894,2544.987139,True,2,resource_finder|experiment_runner
llms-know-answer-eef8-codex,codex,True,2026-06-23T05:32:17.114817,2026-06-23T06:17:44.004841,2726.890024,True,2,resource_finder|experiment_runner
quantum-ml-methods-7581-claude,codex,True,2026-06-24T19:13:49.903472,2026-06-24T20:50:19.683663,5789.780191,True,2,resource_finder|experiment_runner
quantum-ml-methods-d41e-claude,codex,True,2026-06-25T17:02:06.703747,2026-06-25T17:42:11.274034,2404.570287,True,2,resource_finder|experiment_runner
grounded-novelty-ai-6ac8-claude,codex,True,2026-06-28T20:59:42.831630,2026-06-28T21:52:17.908803,3155.077173,True,2,resource_finder|experiment_runner
neural-symbolic-ai-41f3-claude,codex,True,2026-06-28T20:59:57.672993,2026-06-28T22:01:10.190790,3672.517797,True,2,resource_finder|experiment_runner
llm-blindspot-priorities-60de-claude,codex,True,2026-06-28T21:00:22.904736,2026-06-28T21:42:38.863621,2535.958885,True,2,resource_finder|experiment_runner
grounded-novelty-ai-5114-codex,codex,True,2026-06-29T04:34:59.648514,2026-06-29T05:18:19.020827,2599.372313,True,2,resource_finder|experiment_runner
logit-lens-implicit-fbb4-codex,codex,True,2026-06-29T04:35:39.083719,2026-06-29T05:08:57.884046,1998.800327,True,2,resource_finder|experiment_runner
neural-symbolic-ai-2f28-codex,codex,True,2026-06-29T04:35:59.124035,2026-06-29T05:14:11.262454,2292.138419,True,2,resource_finder|experiment_runner
logit-lens-implicit-9a0d-claude,codex,True,2026-06-29T16:07:49.289916,2026-06-29T17:17:37.618880,4188.328964,True,2,resource_finder|experiment_runner
llm-multi-person-id-f00b-codex,codex,True,2026-07-06T06:16:11.418701,2026-07-06T06:53:45.490646,2254.071945,True,2,resource_finder|experiment_runner
sticky-personas-ai-a685-codex,codex,True,2026-07-06T06:17:07.309399,2026-07-06T07:04:13.547429,2826.23803,True,2,resource_finder|experiment_runner
quantum-ml-methods-c288-codex,codex,True,2026-07-06T06:19:11.924379,2026-07-06T06:55:05.547312,2153.622933,True,2,resource_finder|experiment_runner
sticky-personas-ai-9dab-claude,codex,True,2026-07-06T13:27:23.705204,2026-07-06T14:01:52.065084,2068.35988,True,2,resource_finder|experiment_runner
quantum-ml-methods-54ff-claude,codex,True,2026-07-06T13:27:46.543490,2026-07-06T15:18:48.551955,6662.008465,True,2,resource_finder|experiment_runner
llm-multi-person-id-1096-claude,codex,True,2026-07-06T23:39:34.422853,2026-07-07T01:17:37.987395,5883.564542,True,2,resource_finder|experiment_runner
llm_unspeakables_20260713_124114_33f1a14e,codex,True,2026-07-13T12:41:22.595875,2026-07-13T14:45:39.581691,7456.985816,True,2,resource_finder|experiment_runner
llms_don_t_do_much_tom_in_writ_20260714_234243_6b6ff0f4,codex,True,2026-07-14T23:42:51.238626,2026-07-15T00:37:19.613594,3268.374968,True,2,resource_finder|experiment_runner
how_do_we_make_sure_skills_sel_20260715_033947_a0801865,codex,True,2026-07-15T03:39:55.481113,2026-07-15T04:35:51.858127,3356.377014,True,2,resource_finder|experiment_runner
cartographers_of_the_ai_latent_20260720_142733_1b997657,codex,True,2026-07-20T14:27:42.970407,2026-07-20T16:12:21.313391,6278.342984,True,2,resource_finder|experiment_runner
synthetic_data_with_base_model_20260720_181704_b08e72e8,codex,True,2026-07-20T18:17:12.681358,2026-07-21T05:02:47.345165,38734.663807,True,2,resource_finder|experiment_runner
what_kind_of_tools_do_llms_thi_20260720_181157_f89eda47,codex,True,2026-07-20T18:12:05.868527,2026-07-21T06:11:36.680159,43170.811632,True,2,resource_finder|experiment_runner
adversarial_prompt_injection_v_20260728_181355_db6fd146,codex,True,2026-07-28T18:14:05.208229,2026-07-28T18:17:06.398883,181.190654,False,1,resource_finder
emergent_adversarial_prompt_in_20260728_195215_54394617,codex,True,2026-07-28T19:52:25.265401,2026-07-28T19:55:36.869154,191.603753,False,1,resource_finder
can_self_report_training_help__20260728_230205_15848d12,codex,True,2026-07-28T23:02:14.289443,2026-07-29T00:19:38.044181,4643.754738,True,2,resource_finder|experiment_runner
scaling_analysis_of_distribute_20260729_000241_d3c51cab,codex,True,2026-07-29T00:02:51.598355,2026-07-29T00:02:55.106447,3.508092,False,1,resource_finder
adversarial_prompt_injection_v_20260729_000827_3a2a967e,codex,True,2026-07-29T00:08:36.399103,2026-07-29T00:08:38.977739,2.578636,False,1,resource_finder
emergent_collective_intelligen_20260729_001254_501032ff,codex,True,2026-07-29T00:13:03.351560,2026-07-29T00:13:06.352571,3.001011,False,1,resource_finder
semantic_coherence_impact_on_a_20260729_154614_23123c8f,codex,True,2026-07-29T15:46:24.835000,2026-07-29T15:46:40.176866,15.341866,False,1,resource_finder
systematic_bias_in_llm_chain_o_20260729_160340_206cc029,codex,True,2026-07-29T16:03:54.821653,2026-07-29T16:04:00.043828,5.222175,False,1,resource_finder
systematic_bias_in_llm_uncerta_20260729_161235_2f048b69,codex,True,2026-07-29T16:12:46.364574,2026-07-29T16:12:52.836420,6.471846,False,1,resource_finder
multi_agent_adversarial_prompt_20260729_161608_d239e51e,codex,True,2026-07-29T16:16:19.367496,2026-07-29T16:16:24.586366,5.21887,False,1,resource_finder
systematic_stress_testing_of___20260730_161741_765e263a,codex,True,2026-07-30T16:17:51.821078,2026-07-30T16:17:58.343095,6.522017,False,1,resource_finder
can-self-report-training-help-lie-de4e-codex,codex,True,2026-07-31T05:49:19.084864Z,2026-07-31T06:39:47.675494Z,3028.59063,True,2,resource_finder|experiment_runner
tension-between-independence-0807-codex,codex,True,2026-07-31T05:59:14.971401Z,2026-07-31T06:25:42.738051Z,1587.76665,True,2,resource_finder|experiment_runner
already-present-beliefs-ea16-codex,codex,True,2026-07-31T13:51:12.444918Z,2026-07-31T14:24:45.778976Z,2013.334058,True,2,resource_finder|experiment_runner
reverse-stress-testing-for-detecting-f225,codex,True,2026-08-03T16:28:10.953784Z,2026-08-03T16:28:11.002602Z,0.048818,False,1,resource_finder
